Subject_Code,Cluster,timepoint
NT069,0,t2
NT070,0,t2
NT071,0,t2
NT072,0,t2
NT074,1,t2
NT076,0,t2
NT077,0,t2
NT080,1,t2
NT081,0,t2
NT082,0,t2
NT083,1,t2
NT084,0,t2
NT085,0,t2
NT087,0,t2
NT088,0,t2
NT089,0,t2
NT090,0,t2
NT091,0,t2
NT092,0,t2
NT093,0,t2
NT094,0,t2
NT096,1,t2
NT097,0,t2
NT100,0,t2
NT102,0,t2
NT107,1,t2
NT110,0,t2
NT114,0,t2
NT116,1,t2
NT117,0,t2
NT118,0,t2
NT121,0,t2
NT122,0,t2
NT123,0,t2
NT124,0,t2
NT126,0,t2
NT129,1,t2
NT131,1,t2
NT134,1,t2
NT135,0,t2
NT136,0,t2
NT139,1,t2
NT140,0,t2
CT003,0,t3
CT004,0,t3
CT005,1,t3
CT007,1,t3
CT008,0,t3
CT010,1,t3
CT012,1,t3
CT013,0,t3
CT015,0,t3
CT021,1,t3
CT022,0,t3
CT023,1,t3
CT024,0,t3
CT025,0,t3
CT026,0,t3
CT027,1,t3
CT028,0,t3
CT029,1,t3
CT031,0,t3
CT033,0,t3
CT034,1,t3
CT035,0,t3
CT038,1,t3
CT039,1,t3
CT040,0,t3
CT041,0,t3
CT043,0,t3
CT044,1,t3
CT046,1,t3
CT047,1,t3
CT050,0,t3
CT051,0,t3
CT053,1,t3
CT055,0,t3
CT056,0,t3
CT058,0,t3
CT059,0,t3
CT060,0,t3
CT061,1,t3
CT062,0,t3
CT066,0,t3
NT001,0,t3
NT002,0,t3
NT005,0,t3
NT007,0,t3
NT008,0,t3
NT010,0,t3
NT015,0,t3
NT016,0,t3
NT017,0,t3
NT018,0,t3
NT020,0,t3
NT022,1,t3
NT023,0,t3
NT024,1,t3
NT025,0,t3
NT026,1,t3
NT027,0,t3
NT028,0,t3
NT030,0,t3
NT031,0,t3
NT032,0,t3
NT033,0,t3
NT034,0,t3
NT035,0,t3
NT036,1,t3
NT039,0,t3
NT040,0,t3
NT042,0,t3
NT044,0,t3
NT045,0,t3
NT046,0,t3
NT047,1,t3
NT048,1,t3
NT049,1,t3
NT051,0,t3
NT055,0,t3
NT056,0,t3
NT057,0,t3
NT058,0,t3
NT059,0,t3
NT060,1,t3
NT061,0,t3
NT063,0,t3
NT065,1,t3
NT068,0,t3
NT069,0,t3
NT070,0,t3
NT072,0,t3
NT074,0,t3
NT076,0,t3
NT077,0,t3
NT080,0,t3
NT081,0,t3
NT082,0,t3
NT084,0,t3
NT085,0,t3
NT087,0,t3
NT089,1,t3
NT090,0,t3
NT091,0,t3
NT094,0,t3
NT096,1,t3
NT097,1,t3
NT100,1,t3
NT107,0,t3
NT112,0,t3
NT113,1,t3
NT116,0,t3
NT118,0,t3
NT121,0,t3
NT123,0,t3
NT124,0,t3
NT125,0,t3
NT126,0,t3
NT129,1,t3
NT131,1,t3
NT134,0,t3
NT135,0,t3
NT136,0,t3
NT140,0,t3
CT003,0,after
CT004,1,after
CT005,0,after
CT007,1,after
CT008,0,after
CT010,0,after
CT012,0,after
CT013,0,after
CT015,1,after
CT017,1,after
CT018,0,after
CT022,0,after
CT023,0,after
CT024,0,after
CT025,0,after
CT026,0,after
CT027,1,after
CT028,0,after
CT029,0,after
CT030,1,after
CT031,0,after
CT032,0,after
CT033,1,after
CT034,0,after
CT035,0,after
CT037,0,after
CT038,1,after
CT039,1,after
CT041,0,after
CT044,0,after
CT046,0,after
CT049,1,after
CT050,0,after
CT051,0,after
CT055,0,after
CT056,0,after
CT058,1,after
CT059,0,after
CT060,0,after
CT061,0,after
NT001,0,after
NT002,1,after
NT005,0,after
NT007,0,after
NT010,0,after
NT015,1,after
NT016,0,after
NT017,0,after
NT018,1,after
NT019,0,after
NT020,0,after
NT022,1,after
NT023,0,after
NT024,1,after
NT025,0,after
NT026,0,after
NT027,0,after
NT028,0,after
NT029,1,after
NT030,0,after
NT031,0,after
NT032,0,after
NT033,0,after
NT034,0,after
NT036,0,after
NT039,0,after
NT040,1,after
NT041,0,after
NT042,0,after
NT043,0,after
NT044,0,after
NT045,0,after
NT046,0,after
NT047,1,after
NT048,0,after
NT049,1,after
NT051,0,after
NT052,0,after
NT053,0,after
NT054,0,after
NT055,0,after
NT056,0,after
NT057,1,after
NT058,0,after
NT059,0,after
NT060,1,after
NT061,0,after
NT063,1,after
NT065,0,after
NT068,0,after
NT069,0,after
NT071,0,after
NT072,0,after
NT074,0,after
NT075,0,after
NT077,0,after
NT081,0,after
NT082,0,after
NT084,0,after
NT085,0,after
NT087,0,after
NT088,0,after
NT089,1,after
NT090,0,after
NT091,0,after
NT093,0,after
NT094,1,after
NT096,1,after
NT097,1,after
NT100,0,after
NT102,0,after
NT106,1,after
NT107,0,after
NT110,0,after
NT113,1,after
NT114,0,after
NT117,0,after
NT118,0,after
NT121,0,after
NT122,0,after
NT123,0,after
NT124,0,after
NT126,0,after
NT129,1,after
NT136,1,after
